n  ,algo   ,time                  ,comparisons
11 ,insert ,0.015020370483398438  ,         55
11 ,merge  ,0.010013580322265625  ,         26
11 ,hybrid ,0.008821487426757812  ,         27
12 ,insert ,0.0171661376953125    ,         66
12 ,merge  ,0.011920928955078125  ,         31
12 ,hybrid ,0.009059906005859375  ,         32
13 ,insert ,0.018835067749023438  ,         78
13 ,merge  ,0.013113021850585938  ,         33
13 ,hybrid ,0.010013580322265625  ,         36
14 ,insert ,0.02384185791015625   ,         91
14 ,merge  ,0.015735626220703125  ,         37
14 ,hybrid ,0.013113021850585938  ,         41
15 ,insert ,0.028133392333984375  ,        105
15 ,merge  ,0.015974044799804688  ,         43
15 ,hybrid ,0.013113021850585938  ,         47
16 ,insert ,0.0247955322265625    ,        120
16 ,merge  ,0.01621246337890625   ,         44
16 ,hybrid ,0.012874603271484375  ,         51
17 ,insert ,0.03504753112792969   ,        136
17 ,merge  ,0.01811981201171875   ,         50
17 ,hybrid ,0.015020370483398438  ,         54
18 ,insert ,0.03910064697265625   ,        153
18 ,merge  ,0.02002716064453125   ,         57
18 ,hybrid ,0.015735626220703125  ,         59
19 ,insert ,0.04291534423828125   ,        171
19 ,merge  ,0.022172927856445312  ,         59
19 ,hybrid ,0.01811981201171875   ,         60
20 ,insert ,0.04601478576660156   ,        190
20 ,merge  ,0.02193450927734375   ,         62
20 ,hybrid ,0.018835067749023438  ,         63
21 ,insert ,0.053882598876953125  ,        210
21 ,merge  ,0.02288818359375      ,         67
21 ,hybrid ,0.020265579223632812  ,         69
22 ,insert ,0.05507469177246094   ,        231
22 ,merge  ,0.025987625122070312  ,         75
22 ,hybrid ,0.022172927856445312  ,         76
23 ,insert ,0.06103515625         ,        253
23 ,merge  ,0.026941299438476562  ,         75
23 ,hybrid ,0.023126602172851562  ,         76
24 ,insert ,0.07343292236328125   ,        276
24 ,merge  ,0.027894973754882812  ,         79
24 ,hybrid ,0.023126602172851562  ,         82
25 ,insert ,0.06604194641113281   ,        300
25 ,merge  ,0.029087066650390625  ,         82
25 ,hybrid ,0.025033950805664062  ,         86
26 ,insert ,0.08130073547363281   ,        325
26 ,merge  ,0.031948089599609375  ,         93
26 ,hybrid ,0.025987625122070312  ,         97
27 ,insert ,0.08082389831542969   ,        351
27 ,merge  ,0.03314018249511719   ,         95
27 ,hybrid ,0.027894973754882812  ,        101
