Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
761, 69.64, 3.67, 100.00
762, 75.05, 4.53, 100.00
763, 75.10, 3.60, 100.00
764, 70.93, 3.71, 100.00
765, 70.54, 3.73, 100.00
766, 69.82, 3.76, 100.00
767, 72.38, 3.79, 100.00
768, 71.95, 3.81, 100.00
769, 75.68, 3.71, 100.00
770, 70.13, 3.81, 100.00
771, 72.56, 3.73, 100.00
772, 73.54, 3.74, 100.00
773, 72.12, 3.90, 100.00
774, 72.97, 3.80, 100.00
775, 72.43, 3.75, 100.00
776, 74.75, 3.82, 100.00
777, 76.65, 3.83, 100.00
778, 72.28, 3.82, 100.00
779, 74.05, 3.91, 100.00
780, 73.65, 3.89, 100.00
781, 74.01, 3.79, 100.00
782, 75.58, 3.81, 100.00
783, 76.04, 3.87, 100.00
784, 74.33, 4.17, 100.00
785, 75.89, 3.85, 100.00
786, 76.31, 3.91, 100.00
787, 79.60, 3.95, 100.00
788, 77.02, 3.89, 100.00
789, 76.75, 3.87, 100.00
790, 76.56, 4.11, 100.00
791, 79.73, 3.93, 100.00
792, 77.97, 3.94, 100.00
793, 76.36, 4.04, 100.00
794, 76.33, 4.15, 100.00
795, 78.34, 4.28, 100.00
796, 77.00, 4.14, 100.00
797, 76.63, 3.94, 100.00
798, 80.03, 3.93, 100.00
799, 78.39, 3.96, 100.00
800, 79.21, 4.97, 100.00
801, 92.92, 4.06, 100.00
802, 81.72, 5.18, 100.00
803, 93.51, 5.92, 100.00
804, 92.04, 4.09, 100.00
805, 83.47, 4.13, 100.00
806, 83.79, 4.04, 100.00
807, 85.25, 4.02, 100.00
